kic,fits_count,download
10026724,14,Y
10064591,18,Y
100000948,0,N
10002783,17,Y
10053777,17,Y
10024625,2,Y
10119629,2,Y
10073370,6,Y
10006581,17,Y
10027054,14,Y
10026186,13,Y
10003497,16,Y
10066000,17,Y
10093932,14,Y
10016145,14,Y
10025969,14,Y
10081256,17,Y
10086625,5,Y
10092017,14,Y
10018828,17,Y
10120758,2,Y
10090572,14,Y
10033833,13,Y
10000823,17,Y
10028447,14,Y
10064768,4,Y
10088773,14,Y
10083995,18,Y
10086883,14,Y
10099291,1,Y
10128169,17,Y
10030646,15,Y
10003464,17,Y
10065676,14,Y
10073713,17,Y
10019763,14,Y
10094545,13,Y
11568987,17,Y
10005758,17,Y
10024883,14,Y
10090575,14,Y
10071249,18,Y
10086622,11,Y
10027098,6,Y
10092646,14,Y
10090111,13,Y
10054597,5,Y
10016180,17,Y
10001305,3,Y
10003452,17,Y
10071416,18,Y
10006776,17,Y
10008071,0,N
10025369,11,Y
10118157,18,Y
10006923,16,Y
10083366,17,Y
100000946,0,N
10054100,17,Y
10006127,17,Y
10023260,14,Y
10065475,17,Y
10007233,17,Y
10023294,14,Y
10875245,15,Y
10033462,13,Y
10130153,2,Y
10020247,16,Y
10001933,14,Y
9230021,14,Y
11442793,14,Y
10097553,14,Y
100000941,0,N
10019594,3,Y
9002278,17,Y
10004825,8,Y
10006588,1,Y
10093751,14,Y
10080782,17,Y
10123983,4,Y
10090722,15,Y
10026779,15,Y
10058938,18,Y
10028273,14,Y
10019706,17,Y
10129829,17,Y
10070597,17,Y
10127978,17,Y
10119479,17,Y
10002385,6,Y
10127712,8,Y
10067144,17,Y
10094947,14,Y
10088524,14,Y
10000270,17,Y
10057341,17,Y
10087108,14,Y
10091851,14,Y
10075223,12,Y
10088372,14,Y
10001994,18,Y
10058755,17,Y
10008025,18,Y
10025759,14,Y
10087130,15,Y
10020019,18,Y
10002349,18,Y
10083564,17,Y
10053349,3,Y
8261920,16,Y
10020214,17,Y
10005361,18,Y
10002712,18,Y
10066091,14,Y
10098577,14,Y
10003062,17,Y
10666592,0,N
10005966,15,Y
10033438,14,Y
10057941,17,Y
10028626,15,Y
10123348,15,Y
10007269,16,Y
10088718,5,Y
10028414,14,Y
10059645,17,Y
10092276,14,Y
10080778,17,Y
10064704,17,Y
10066053,15,Y
10019708,17,Y
10066437,17,Y
10006714,18,Y
10090348,14,Y
10030276,15,Y
10065848,18,Y
10031196,14,Y
10098773,14,Y
10079873,18,Y
10079621,18,Y
10118790,17,Y
10068939,17,Y
10079245,17,Y
10080740,18,Y
10000279,16,Y
10129675,17,Y
10005961,17,Y
10029999,15,Y
10067340,17,Y
10035155,15,Y
10030427,3,Y
10068906,17,Y
7747425,17,Y
10089262,15,Y
10092418,14,Y
10088176,14,Y
10075215,17,Y
10033400,14,Y
10025101,14,Y
10053181,17,Y
10066868,17,Y
4833421,17,Y
5531953,17,Y
10083199,14,Y
10025506,14,Y
10006542,18,Y
10024420,14,Y
10018820,14,Y
10122235,17,Y
10030676,12,Y
10120750,17,Y
10069424,17,Y
10002915,16,Y
10089468,15,Y
10079226,18,Y
10122038,16,Y
100000940,0,N
10065641,18,Y
10001304,18,Y
10016181,17,Y
10079810,17,Y
10069078,17,Y
10069844,17,Y
10068996,17,Y
10016175,18,Y
10187017,18,Y
10053778,17,Y
10026941,2,Y
10080186,17,Y
10065814,18,Y
10089239,14,Y
10029763,12,Y
10001935,9,Y
100000947,0,N
10054905,14,Y
10087165,11,Y
10028221,14,Y
10118532,17,Y
10034683,3,Y
10058997,17,Y
10003233,18,Y
10073376,18,Y
10065213,17,Y
7673192,17,Y
10070197,17,Y
10023062,15,Y
10018811,18,Y
10003491,15,Y
10002543,18,Y
10065683,17,Y
10079819,17,Y
10119274,1,Y
10026977,14,Y
10093761,14,Y
10095496,15,Y
8609450,17,Y
6422155,13,Y
10082879,17,Y
10083197,14,Y
10123573,18,Y
10118964,17,Y
10025968,14,Y
10088775,14,Y
10005761,17,Y
10083369,14,Y
100000949,0,N
10073715,17,Y
10090128,11,Y
10024885,14,Y
10118503,18,Y
8780959,18,Y
10063128,18,Y
10034489,1,Y
10092640,2,Y
10003039,17,Y
10059425,1,Y
10000876,17,Y
10001198,17,Y
10011138,17,Y
10007439,18,Y
10525077,17,Y
10005960,14,Y
10089852,15,Y
10063188,18,Y
10092426,14,Y
10119471,17,Y
10004846,17,Y
10065429,18,Y
10024825,14,Y
10119227,18,Y
10066603,17,Y
10118568,16,Y
10005351,18,Y
10031500,11,Y
10020472,17,Y
10079875,14,Y
10018842,18,Y
10025590,14,Y
10001957,17,Y
10026749,15,Y
5371776,14,Y
100000925,0,N
10003258,17,Y
10024648,15,Y
10019352,14,Y
